state_code,time_stamp,type,weighted_sentiment,bert_label,year,month
OH,2014-01-16 17:49:00,neutral,0.0,0,2014,1
PA,2014-01-26 23:29:00,neutral,0.0,0,2014,1
KS,2014-01-27 23:50:00,neutral,0.0,0,2014,1
GA,2014-01-29 14:46:00,pos,12.0,1,2014,1
PA,2014-02-10 16:05:00,neg,-14.0,-1,2014,2
OH,2014-02-18 15:25:00,neutral,0.0,0,2014,2
NM,2014-02-27 13:18:00,pos,30.0,1,2014,2
AZ,2014-02-27 22:42:00,neutral,0.0,0,2014,2
AZ,2014-03-08 15:00:00,pos,94.0,1,2014,3
NY,2014-03-18 02:19:00,neg,-48.0,-1,2014,3
NY,2014-03-18 13:46:00,neutral,0.0,0,2014,3
AZ,2014-03-20 05:26:00,pos,9.0,1,2014,3
NM,2014-03-20 14:53:00,neutral,0.0,0,2014,3
PA,2014-03-20 15:37:00,pos,0.391304347826087,1,2014,3
CA,2014-03-24 16:45:00,pos,9.0,1,2014,3
MI,2014-03-26 10:40:00,pos,0.8928571428571429,1,2014,3
OH,2014-03-28 12:45:00,neutral,0.0,0,2014,3
AZ,2014-03-29 06:20:00,pos,56.0,1,2014,3
OH,2014-04-02 12:52:00,pos,164.0,1,2014,4
AZ,2014-04-02 20:25:00,neutral,0.0,0,2014,4
NM,2014-04-05 02:17:00,pos,34.0,1,2014,4
NV,2014-04-08 14:23:00,pos,2.0,1,2014,4
AZ,2014-04-12 06:34:00,neutral,0.0,0,2014,4
AZ,2014-04-21 16:21:00,neutral,0.0,0,2014,4
FL,2014-04-22 00:26:00,neg,-32.0,-1,2014,4
LA,2014-04-28 17:44:00,pos,2.0,1,2014,4
CO,2014-04-29 15:14:00,neutral,0.0,0,2014,4
MA,2014-05-05 15:34:00,neutral,0.0,0,2014,5
MA,2014-05-06 14:27:00,neutral,0.0,0,2014,5
KS,2014-05-08 21:10:00,pos,169.0,1,2014,5
KS,2014-05-11 05:11:00,neutral,0.0,0,2014,5
KS,2014-05-14 14:50:00,neg,-80.0,-1,2014,5
OH,2014-05-18 17:09:00,neutral,0.0,0,2014,5
KY,2014-05-22 14:27:00,pos,86.0,1,2014,5
CA,2014-05-26 10:40:00,pos,74.0,1,2014,5
GA,2014-06-09 17:46:00,neutral,0.0,0,2014,6
NC,2014-06-19 17:54:00,neutral,0.0,0,2014,6
NM,2014-06-20 16:26:00,neutral,0.0,0,2014,6
NC,2014-06-21 02:23:00,pos,21.0,1,2014,6
PA,2014-07-14 01:28:00,pos,105.0,1,2014,7
PA,2014-07-14 16:42:00,pos,163.0,1,2014,7
GA,2014-07-18 15:20:00,neutral,0.0,0,2014,7
NY,2014-07-22 16:00:00,pos,0.625,1,2014,7
NM,2014-07-31 23:29:00,neutral,0.0,0,2014,7
NH,2014-08-01 16:44:00,neutral,0.0,0,2014,8
IL,2014-08-10 04:41:00,neutral,0.0,0,2014,8
GA,2014-09-03 05:46:00,neutral,0.0,0,2014,9
NV,2014-09-03 19:25:00,neutral,0.0,0,2014,9
AZ,2014-09-03 21:07:00,neutral,0.0,0,2014,9
AZ,2014-09-03 21:55:00,neutral,0.0,0,2014,9
FL,2014-09-04 16:20:00,pos,0.6,1,2014,9
GA,2014-09-04 19:14:00,neutral,0.0,0,2014,9
OH,2014-09-13 12:34:00,neutral,0.0,0,2014,9
MA,2014-09-16 02:11:00,pos,753.0,1,2014,9
OH,2014-09-24 02:05:00,neutral,0.0,0,2014,9
MI,2014-10-04 03:47:00,pos,29.0,1,2014,10
MI,2014-10-22 02:06:00,neutral,0.0,0,2014,10
MI,2014-10-22 14:45:00,neutral,0.0,0,2014,10
OH,2014-10-23 01:27:00,neutral,0.0,0,2014,10
IA,2014-10-24 15:37:00,neg,-49.0,-1,2014,10
OH,2014-11-17 21:06:00,pos,0.375,1,2014,11
NM,2014-11-17 21:52:00,pos,11.0,1,2014,11
OH,2014-11-24 15:23:00,neutral,0.0,0,2014,11
IL,2014-11-28 08:24:00,pos,65.0,1,2014,11
OH,2014-12-03 15:15:00,neutral,0.0,0,2014,12
AZ,2014-12-20 16:34:00,neutral,0.0,0,2014,12
GA,2015-01-11 23:14:00,neutral,0.0,0,2015,1
AZ,2015-01-26 20:54:00,neutral,0.0,0,2015,1
KS,2015-01-29 17:25:00,neutral,0.0,0,2015,1
NC,2015-01-30 16:06:00,neutral,0.0,0,2015,1
KY,2015-02-04 18:39:00,neutral,0.0,0,2015,2
FL,2015-02-19 16:21:00,pos,0.7692307692307693,1,2015,2
NC,2015-03-16 11:57:00,neutral,0.0,0,2015,3
MI,2015-03-16 16:44:00,pos,12.0,1,2015,3
GA,2015-03-16 20:32:00,neutral,0.0,0,2015,3
GA,2015-03-25 00:34:00,neutral,0.0,0,2015,3
GA,2015-04-09 20:17:00,pos,36.0,1,2015,4
NV,2015-04-15 21:20:00,neutral,0.0,0,2015,4
AL,2015-04-16 19:41:00,neutral,0.0,0,2015,4
GA,2015-05-01 13:45:00,pos,9.0,1,2015,5
NE,2015-05-04 20:32:00,neutral,0.0,0,2015,5
MA,2015-05-06 22:22:00,neutral,0.0,0,2015,5
MI,2015-05-07 01:44:00,neutral,0.0,0,2015,5
MI,2015-05-07 11:57:00,neutral,0.0,0,2015,5
NV,2015-05-08 03:34:00,pos,38.0,1,2015,5
NY,2015-05-12 12:09:00,neutral,0.0,0,2015,5
ID,2015-05-12 15:12:00,pos,60.0,1,2015,5
ID,2015-05-17 19:45:00,pos,0.75,1,2015,5
MD,2015-05-18 18:41:00,pos,39.0,1,2015,5
AL,2015-05-21 06:39:00,neutral,0.0,0,2015,5
KS,2015-05-29 17:07:00,neutral,0.0,0,2015,5
MI,2015-05-30 10:22:00,pos,5.0,1,2015,5
PA,2015-06-10 18:33:00,pos,135.0,1,2015,6
AL,2015-06-19 22:00:00,pos,13.0,1,2015,6
AZ,2015-06-28 07:39:00,neutral,0.0,0,2015,6
FL,2015-07-08 20:12:00,neutral,0.0,0,2015,7
CO,2015-07-14 01:00:00,pos,23.0,1,2015,7
MI,2015-07-27 22:10:00,neutral,0.0,0,2015,7
KS,2015-08-05 19:09:00,pos,78.0,1,2015,8
PA,2015-08-07 03:11:00,pos,13.0,1,2015,8
IN,2015-08-12 20:27:00,neg,-0.75,-1,2015,8
AL,2015-09-04 05:17:00,neutral,0.0,0,2015,9
MI,2015-09-08 14:26:00,pos,0.0,1,2015,9
FL,2015-09-08 20:57:00,pos,0.9,1,2015,9
OK,2015-09-14 22:52:00,neutral,0.0,0,2015,9
IL,2015-10-02 22:45:00,pos,0.0,1,2015,10
AL,2015-10-03 10:42:00,pos,17.0,1,2015,10
OK,2015-10-07 11:57:00,pos,10.0,1,2015,10
KY,2015-10-12 01:33:00,pos,0.0,1,2015,10
LA,2015-10-14 05:41:00,neutral,0.0,0,2015,10
FL,2015-10-16 20:12:00,neutral,0.0,0,2015,10
IL,2015-10-21 17:36:00,pos,0.26666666666666666,1,2015,10
IL,2015-10-24 22:24:00,pos,0.0,1,2015,10
PA,2015-10-28 14:18:00,pos,0.2916666666666667,1,2015,10
AZ,2015-10-30 22:41:00,neutral,0.0,0,2015,10
MI,2015-11-02 18:08:00,pos,0.6470588235294118,1,2015,11
MA,2015-11-10 16:02:00,pos,0.16666666666666666,1,2015,11
MA,2015-11-13 17:09:00,neutral,0.0,0,2015,11
OH,2015-11-17 15:00:00,neutral,0.0,0,2015,11
IL,2015-11-24 14:37:00,neutral,0.0,0,2015,11
MI,2015-12-04 18:49:00,neutral,0.0,0,2015,12
NY,2015-12-06 14:22:00,neutral,0.0,0,2015,12
NY,2015-12-10 00:55:00,neutral,0.0,0,2015,12
MI,2016-01-04 15:31:00,pos,0.8656716417910447,1,2016,1
KY,2016-01-06 14:35:00,neutral,0.0,0,2016,1
CA,2016-01-18 16:56:00,neutral,0.0,0,2016,1
IL,2016-01-18 19:56:00,pos,0.6363636363636364,1,2016,1
NV,2016-01-25 15:09:00,neg,-44.0,-1,2016,1
FL,2016-01-30 22:39:00,neutral,0.0,0,2016,1
IL,2016-02-04 05:51:00,neutral,0.0,0,2016,2
KY,2016-02-04 15:12:00,neg,-30.0,-1,2016,2
PA,2016-02-08 03:55:00,pos,9.0,1,2016,2
NY,2016-02-22 23:15:00,neutral,0.0,0,2016,2
NV,2016-03-01 01:16:00,neutral,0.0,0,2016,3
AZ,2016-03-02 19:20:00,pos,0.6216216216216216,1,2016,3
NC,2016-03-15 16:09:00,pos,0.55,1,2016,3
NY,2016-03-19 22:17:00,neutral,0.0,0,2016,3
CA,2016-03-26 03:29:00,neutral,0.0,0,2016,3
GA,2016-03-28 13:36:00,neg,-0.2571428571428571,-1,2016,3
FL,2016-03-31 14:37:00,pos,62.0,1,2016,3
GA,2016-03-31 20:19:00,neutral,0.0,0,2016,3
CA,2016-03-31 21:44:00,neutral,0.0,0,2016,3
MI,2016-04-01 17:43:00,neutral,0.0,0,2016,4
KY,2016-04-06 18:39:00,pos,9.0,1,2016,4
PA,2016-04-28 17:51:00,neutral,0.0,0,2016,4
PA,2016-05-06 20:12:00,neutral,0.0,0,2016,5
OH,2016-05-07 13:19:00,pos,18.0,1,2016,5
LA,2016-05-11 00:49:00,neutral,0.0,0,2016,5
CA,2016-05-12 14:41:00,neutral,0.0,0,2016,5
CA,2016-05-22 02:41:00,pos,7.0,1,2016,5
NC,2016-05-25 20:44:00,neutral,0.0,0,2016,5
NY,2016-06-05 22:15:00,neutral,0.0,0,2016,6
NY,2016-06-08 09:48:00,pos,0.4,1,2016,6
CA,2016-06-09 15:09:00,pos,98.0,1,2016,6
CO,2016-06-16 15:51:00,neutral,0.0,0,2016,6
OH,2016-06-19 20:40:00,pos,0.75,1,2016,6
NY,2016-06-21 22:41:00,neutral,0.0,0,2016,6
PA,2016-06-24 15:37:00,neutral,0.0,0,2016,6
CA,2016-06-30 16:24:00,neutral,0.0,0,2016,6
HI,2016-07-05 09:39:00,pos,0.8571428571428571,1,2016,7
IL,2016-07-05 14:54:00,pos,437.0,1,2016,7
PA,2016-07-12 10:08:00,neutral,0.0,0,2016,7
GA,2016-07-12 16:58:00,neg,-21.0,-1,2016,7
NY,2016-08-01 15:43:00,neutral,0.0,0,2016,8
OH,2016-08-05 01:53:00,pos,0.2608695652173913,1,2016,8
GA,2016-08-12 12:27:00,pos,0.6666666666666666,1,2016,8
IL,2016-08-13 21:35:00,neutral,0.0,0,2016,8
AL,2016-08-18 13:59:00,pos,0.1836734693877551,1,2016,8
NE,2016-08-31 13:28:00,pos,30.0,1,2016,8
IL,2016-08-31 20:06:00,neg,-97.0,-1,2016,8
NY,2016-09-02 01:30:00,pos,10.0,1,2016,9
IL,2016-09-12 16:55:00,pos,0.0,1,2016,9
GA,2016-09-16 15:05:00,pos,0.24615384615384617,1,2016,9
NY,2016-09-20 22:08:00,neutral,0.0,0,2016,9
PA,2016-09-25 11:16:00,neg,-0.49019607843137253,-1,2016,9
IL,2016-09-29 15:46:00,neutral,0.0,0,2016,9
MI,2016-09-29 16:46:00,pos,13.0,1,2016,9
MI,2016-10-02 19:29:00,neg,0.0,-1,2016,10
CA,2016-10-27 18:56:00,neutral,0.0,0,2016,10
IN,2016-11-03 12:55:00,neg,-0.55,-1,2016,11
AL,2016-11-05 00:00:00,neg,-40.0,-1,2016,11
OH,2016-11-15 23:20:00,pos,0.9090909090909091,1,2016,11
NY,2016-11-17 21:16:00,neutral,0.0,0,2016,11
NY,2016-11-19 21:38:00,neutral,0.0,0,2016,11
IN,2016-12-02 04:07:00,neutral,0.0,0,2016,12
MI,2016-12-03 18:09:00,neutral,0.0,0,2016,12
OH,2016-12-17 19:37:00,pos,27.0,1,2016,12
NY,2016-12-27 15:25:00,neutral,0.0,0,2016,12
KS,2016-12-30 18:33:00,neg,-221.0,-1,2016,12
NY,2017-01-12 14:55:00,pos,47.0,1,2017,1
MI,2017-01-14 15:20:00,pos,7.0,1,2017,1
KS,2017-01-31 20:51:00,pos,0.0,1,2017,1
OK,2017-02-22 14:50:00,pos,7.0,1,2017,2
NY,2017-02-25 22:57:00,neutral,0.0,0,2017,2
IL,2017-03-02 18:21:00,neutral,0.0,0,2017,3
AZ,2017-03-25 04:35:00,neg,-79.0,-1,2017,3
NY,2017-03-28 05:38:00,neutral,0.0,0,2017,3
MI,2017-03-30 22:33:00,neutral,0.0,0,2017,3
CA,2017-03-31 00:02:00,neutral,0.0,0,2017,3
MI,2017-04-04 17:45:00,pos,0.5714285714285714,1,2017,4
NE,2017-04-05 22:23:00,neg,-0.2857142857142857,-1,2017,4
NY,2017-04-21 21:07:00,neg,0.0,-1,2017,4
NJ,2017-04-24 17:25:00,neutral,0.0,0,2017,4
MA,2017-04-25 16:37:00,pos,46.0,1,2017,4
GA,2017-04-26 20:46:00,pos,0.8333333333333334,1,2017,4
NY,2017-04-27 12:11:00,pos,17.0,1,2017,4
NY,2017-05-01 12:41:00,pos,21.0,1,2017,5
AL,2017-05-04 00:29:00,pos,0.08,1,2017,5
HI,2017-05-09 23:18:00,neutral,0.0,0,2017,5
MA,2017-05-10 21:47:00,neutral,0.0,0,2017,5
LA,2017-05-19 12:47:00,neutral,0.0,0,2017,5
NY,2017-05-21 18:43:00,neutral,0.0,0,2017,5
LA,2017-05-25 16:22:00,neutral,0.0,0,2017,5
MI,2017-06-08 22:31:00,neutral,0.0,0,2017,6
MI,2017-06-09 16:34:00,pos,0.6428571428571429,1,2017,6
NY,2017-06-10 13:28:00,neutral,0.0,0,2017,6
NY,2017-06-11 18:55:00,neutral,0.0,0,2017,6
IL,2017-06-12 05:12:00,pos,0.0,1,2017,6
HI,2017-06-12 23:36:00,pos,1.0,1,2017,6
MI,2017-06-15 14:01:00,neutral,0.0,0,2017,6
NY,2017-06-19 21:01:00,neutral,0.0,0,2017,6
NY,2017-07-10 22:21:00,neutral,0.0,0,2017,7
GA,2017-07-21 00:42:00,pos,0.3333333333333333,1,2017,7
AZ,2017-07-21 13:36:00,pos,0.22727272727272727,1,2017,7
OH,2017-07-28 15:18:00,pos,7.0,1,2017,7
OH,2017-08-03 16:44:00,pos,0.4444444444444444,1,2017,8
NY,2017-08-04 01:34:00,pos,0.5757575757575758,1,2017,8
MI,2017-08-24 17:49:00,pos,87.0,1,2017,8
NY,2017-09-01 01:01:00,neutral,0.0,0,2017,9
NY,2017-09-06 15:16:00,neutral,0.0,0,2017,9
NC,2017-09-08 18:53:00,pos,0.3333333333333333,1,2017,9
FL,2017-09-15 13:55:00,pos,0.7647058823529411,1,2017,9
NY,2017-09-18 19:26:00,neutral,0.0,0,2017,9
NM,2017-10-10 21:51:00,pos,0.0,1,2017,10
NC,2017-10-11 16:54:00,neutral,0.0,0,2017,10
OH,2017-10-11 19:03:00,pos,0.7,1,2017,10
CA,2017-10-13 06:02:00,pos,0.375,1,2017,10
IN,2017-10-19 01:10:00,neutral,0.0,0,2017,10
IN,2017-10-19 02:46:00,neutral,0.0,0,2017,10
MI,2017-10-27 14:19:00,neutral,0.0,0,2017,10
NV,2017-11-02 14:15:00,neutral,0.0,0,2017,11
FL,2017-11-03 15:00:00,pos,0.16666666666666666,1,2017,11
OH,2017-11-03 18:44:00,pos,49.0,1,2017,11
MI,2017-11-17 14:20:00,neutral,0.0,0,2017,11
OH,2017-11-22 11:25:00,pos,0.9411764705882353,1,2017,11
GA,2017-12-01 13:39:00,pos,0.0,1,2017,12
GA,2017-12-03 10:01:00,pos,0.16666666666666666,1,2017,12
PA,2017-12-06 17:34:00,neutral,0.0,0,2017,12
IL,2017-12-16 00:08:00,neg,0.0,-1,2017,12
KY,2017-12-20 14:35:00,neutral,0.0,0,2017,12
MN,2017-12-21 15:03:00,neutral,0.0,0,2017,12
NC,2017-12-29 17:18:00,pos,0.75,1,2017,12
GA,2017-12-31 17:31:00,neutral,0.0,0,2017,12
CA,2018-01-07 16:54:00,neutral,0.0,0,2018,1
MI,2018-01-12 18:15:00,neutral,0.0,0,2018,1
NV,2018-01-18 01:59:00,neutral,0.0,0,2018,1
FL,2018-01-23 11:44:00,neutral,0.0,0,2018,1
NY,2018-01-23 15:53:00,pos,37.0,1,2018,1
NE,2018-01-24 19:11:00,neutral,0.0,0,2018,1
CA,2018-01-26 21:26:00,neutral,0.0,0,2018,1
AZ,2018-01-28 20:32:00,pos,152.0,1,2018,1
GA,2018-01-29 01:54:00,neutral,0.0,0,2018,1
FL,2018-02-06 15:00:00,neutral,0.0,0,2018,2
KY,2018-02-06 16:28:00,pos,96.0,1,2018,2
IL,2018-02-10 15:59:00,neg,0.0,-1,2018,2
HI,2018-02-11 10:41:00,neg,-1.0,-1,2018,2
GA,2018-02-13 21:27:00,pos,19.0,1,2018,2
AR,2018-02-23 20:33:00,pos,29.0,1,2018,2
NY,2018-02-28 16:08:00,neutral,0.0,0,2018,2
NY,2018-03-01 03:02:00,neutral,0.0,0,2018,3
OH,2018-03-06 11:55:00,neutral,0.0,0,2018,3
CO,2018-03-12 06:45:00,pos,0.7857142857142857,1,2018,3
MN,2018-03-16 13:32:00,pos,46.0,1,2018,3
AZ,2018-03-20 18:40:00,pos,0.375,1,2018,3
GA,2018-03-25 01:02:00,pos,8.0,1,2018,3
NV,2018-03-29 23:16:00,neutral,0.0,0,2018,3
ND,2018-03-31 00:13:00,neutral,0.0,0,2018,3
OH,2018-04-04 02:04:00,neutral,0.0,0,2018,4
NE,2018-04-06 22:10:00,pos,0.9130434782608695,1,2018,4
AZ,2018-04-10 22:39:00,pos,0.32,1,2018,4
PA,2018-04-16 16:39:00,pos,0.42857142857142855,1,2018,4
CA,2018-04-19 20:46:00,neutral,0.0,0,2018,4
OK,2018-04-21 23:04:00,neutral,0.0,0,2018,4
OH,2018-04-28 01:38:00,neg,-21.0,-1,2018,4
KS,2018-05-09 17:27:00,pos,0.1111111111111111,1,2018,5
GA,2018-05-14 17:32:00,pos,0.0,1,2018,5
NY,2018-06-05 23:35:00,neutral,0.0,0,2018,6
NV,2018-06-12 21:00:00,neutral,0.0,0,2018,6
OH,2018-06-14 14:33:00,neutral,0.0,0,2018,6
PA,2018-06-18 12:06:00,neutral,0.0,0,2018,6
NV,2018-06-21 02:54:00,neg,-39.0,-1,2018,6
NY,2018-06-22 11:06:00,neg,-40.0,-1,2018,6
MA,2018-06-24 19:33:00,neutral,0.0,0,2018,6
NV,2018-06-25 15:57:00,pos,34.0,1,2018,6
LA,2018-07-11 01:59:00,neutral,0.0,0,2018,7
CA,2018-07-11 06:43:00,neutral,0.0,0,2018,7
IL,2018-07-21 06:42:00,pos,0.0,1,2018,7
NV,2018-07-22 01:43:00,neutral,0.0,0,2018,7
PA,2018-07-25 18:36:00,pos,0.2,1,2018,7
NM,2018-08-03 17:03:00,pos,28.0,1,2018,8
MI,2018-08-07 22:35:00,neutral,0.0,0,2018,8
NY,2018-08-08 18:10:00,neg,-0.5294117647058824,-1,2018,8
AZ,2018-08-13 00:03:00,pos,0.1,1,2018,8
NE,2018-08-15 19:23:00,pos,16.0,1,2018,8
MI,2018-08-17 14:18:00,neg,-20.0,-1,2018,8
KS,2018-08-17 22:14:00,pos,4.0,1,2018,8
NY,2018-08-28 15:11:00,neutral,0.0,0,2018,8
CA,2018-08-29 17:11:00,neutral,0.0,0,2018,8
IA,2018-08-30 15:13:00,neutral,0.0,0,2018,8
NC,2018-08-30 17:05:00,pos,0.7333333333333333,1,2018,8
NY,2018-09-07 21:35:00,pos,40.0,1,2018,9
NY,2018-09-11 15:00:00,neutral,0.0,0,2018,9
FL,2018-09-12 12:24:00,neutral,0.0,0,2018,9
GA,2018-09-17 12:51:00,pos,0.3333333333333333,1,2018,9
AR,2018-09-17 18:43:00,neutral,0.0,0,2018,9
NC,2018-09-20 19:14:00,pos,0.0,1,2018,9
IL,2018-09-22 11:31:00,pos,65.0,1,2018,9
NM,2018-09-26 18:36:00,neg,-0.6875,-1,2018,9
MA,2018-09-27 11:27:00,neutral,0.0,0,2018,9
GA,2018-09-30 01:01:00,pos,0.0,1,2018,9
OK,2018-10-10 12:59:00,pos,9.0,1,2018,10
CA,2018-10-16 21:13:00,pos,0.25806451612903225,1,2018,10
AL,2018-10-17 14:25:00,pos,0.4146341463414634,1,2018,10
CA,2018-10-18 19:26:00,neutral,0.0,0,2018,10
MI,2018-10-19 00:36:00,pos,0.0,1,2018,10
NY,2018-10-25 13:31:00,neutral,0.0,0,2018,10
NE,2018-10-25 18:23:00,pos,0.0,1,2018,10
MI,2018-10-28 01:03:00,pos,0.0,1,2018,10
MI,2018-10-28 14:06:00,pos,0.0,1,2018,10
NY,2018-10-28 16:06:00,neg,-0.9333333333333333,-1,2018,10
MI,2018-11-02 21:56:00,neutral,0.0,0,2018,11
FL,2018-11-05 20:13:00,pos,113.0,1,2018,11
LA,2018-11-06 14:40:00,pos,0.75,1,2018,11
MI,2018-11-16 20:25:00,pos,6.0,1,2018,11
MI,2018-11-26 13:23:00,neutral,0.0,0,2018,11
MI,2018-11-26 16:28:00,neutral,0.0,0,2018,11
CA,2018-11-27 18:17:00,neutral,0.0,0,2018,11
MI,2018-11-28 01:22:00,neutral,0.0,0,2018,11
NY,2018-11-29 21:55:00,neg,-0.5652173913043478,-1,2018,11
FL,2018-12-05 19:11:00,pos,0.3333333333333333,1,2018,12
GA,2018-12-06 20:57:00,pos,0.34782608695652173,1,2018,12
CA,2018-12-10 18:34:00,neutral,0.0,0,2018,12
GA,2018-12-11 03:21:00,pos,0.0,1,2018,12
OH,2018-12-12 08:04:00,neutral,0.0,0,2018,12
NY,2018-12-13 19:25:00,neutral,0.0,0,2018,12
OH,2018-12-15 15:31:00,pos,91.0,1,2018,12
CA,2018-12-20 16:28:00,pos,2090.0,1,2018,12
CA,2018-12-20 20:58:00,neutral,0.0,0,2018,12
MI,2018-12-27 15:34:00,pos,0.0,1,2018,12
MI,2018-12-27 19:04:00,neutral,0.0,0,2018,12
NJ,2018-12-28 17:37:00,pos,0.0,1,2018,12
NY,2018-12-31 20:46:00,neutral,0.0,0,2018,12
AZ,2019-01-01 15:55:00,neutral,0.0,0,2019,1
NY,2019-01-05 04:17:00,pos,12.0,1,2019,1
NY,2019-01-07 16:41:00,pos,14.0,1,2019,1
AZ,2019-01-11 22:17:00,neutral,0.0,0,2019,1
CA,2019-01-12 01:26:00,neg,-85.0,-1,2019,1
OH,2019-01-13 21:16:00,neutral,0.0,0,2019,1
AL,2019-01-13 22:58:00,neutral,0.0,0,2019,1
IL,2019-01-19 18:44:00,pos,0.0,1,2019,1
PA,2019-01-22 20:04:00,pos,0.34375,1,2019,1
LA,2019-01-24 23:49:00,pos,0.6666666666666666,1,2019,1
NY,2019-01-30 21:45:00,neutral,0.0,0,2019,1
CA,2019-02-05 17:07:00,neutral,0.0,0,2019,2
NM,2019-02-05 17:32:00,neutral,0.0,0,2019,2
NY,2019-02-08 01:08:00,neutral,0.0,0,2019,2
MI,2019-02-10 18:17:00,neutral,0.0,0,2019,2
NJ,2019-02-11 11:33:00,neutral,0.0,0,2019,2
CA,2019-02-12 20:14:00,pos,0.6666666666666666,1,2019,2
